"Monfreda et al 2008 crop","FAO item name","FAO item code","notes","MIRCA"
"abaca","Manila fibre (abaca)",809,,"Others annual"
"agave","Agave fibres nes",800,,"Others annual"
"alfalfa","--",,,"Fodder grasses"
"almond","Almonds, with shell",221,,"Others perennial"
"aniseetc","Anise, badian, fennel, coriander",711,,"Others annual"
"apple","Apples",515,,"Others perennial"
"apricot","Apricots",526,,"Others perennial"
"areca","Areca nuts",226,,"Others perennial"
"artichoke","Artichokes",366,,"Others annual"
"asparagus","Asparagus",367,,"Others annual"
"avocado","Avocados",572,,"Others perennial"
"bambara","Bambara beans",203,,"Pulses"
"banana","Bananas",486,,"Others perennial"
"barley","Barley",44,,"Barley"
"bean","Beans, dry",176,,"Pulses"
"beetfor","--",,,"Others annual"
"berrynes","Berries nes",558,,"Others annual"
"blueberry","Blueberries",552,,"Others perennial"
"brazil","Brazil nuts, with shell",216,,"Others perennial"
"broadbean","Broad beans, horse beans, dry",181,,"Pulses"
"buckwheat","Buckwheat",89,,"Others annual"
"cabbage","Cabbages and other brassicas",358,,"Others annual"
"cabbagefor","--",,,"Others annual"
"canaryseed","Canary seed",101,,"Others annual"
"carob","Carobs",461,,"Others perennial"
"carrot","Carrots and turnips",426,,"Others annual"
"carrotfor","--",,,"Others annual"
"cashew","Cashew nuts, with shell",217,,"Others perennial"
"cashewapple","Cashewapple",591,,"Others perennial"
"cassava","Cassava",125,"Cassava leaves, 378 is product of Cassava","Cassava"
"castor","Castor oil seed",265,,"Others annual"
"cauliflower","Cauliflowers and broccoli",393,,"Others annual"
"cerealnes","Cereals, nes",108,,"Others annual"
"cherry","Cherries",531,,"Others perennial"
"chestnut","Chestnut",220,,"Others perennial"
"chickpea","Chick peas",191,,"Pulses"
"chicory","Chicory roots",459,,"Others annual"
"chilleetc","Chillies and peppers, green",401,,"Others annual"
"cinnamon","Cinnamon (canella)",693,,"Others perennial"
"citrusnes","Fruit, citrus nes",512,,"Citrus"
"clove","Cloves",698,,"Others perennial"
"clover","--",,,"Fodder grasses"
"cocoa","Cocoa, beans",661,,"Cocoa"
"coconut","Coconuts",249,,"Others perennial"
"coffee","Coffee, green",656,,"Coffee"
"coir","Coir",813,,"Others perennial"
"cotton","Seed cotton",328,"Cottonseed, 329, Cotton lint, 767, both products of Seed cotton","Cotton"
"cowpea","Cow peas, dry",195,,"Pulses"
"cranberry","Cranberries",554,,"Others perennial"
"cucumberetc","Cucumbers and gherkins",397,,"Others annual"
"currant","Currants",550,,"Others perennial"
"date","Dates",577,,"Date palm"
"eggplant","Eggplants (aubergines)",399,,"Others annual"
"fibrenes","Fibre crops nes",821,,"Others annual"
"fig","Figs",569,,"Others perennial"
"flax","Flax fibre and tow",773,,"Others annual"
"fonio","Fonio",94,,"Others annual"
"fornes","--",,,"0.5 Fodder grasses 0.5 Others annual"
"fruitnes","Fruit, fresh nes",619,,"Others perennial"
"garlic","Garlic",406,,"Others annual"
"ginger","Ginger",720,,"Others perennial"
"gooseberry","Gooseberries",549,,"Others perennial"
"grape","Grapes",560,,"Grapes / Vine"
"grapefruitetc","Grapefruit (inc. pomelos)",507,,"Citrus"
"grassnes","--",,,"Fodder grasses"
"greenbean","Beans, green",414,,"Others annual"
"greenbroadbean","Vegetables, leguminous nes",420,"correct assignment?","Others annual"
"greencorn","Maize, green",446,,"Others annual"
"greenonion","Onions, shallots, green",402,,"Others annual"
"greenpea","Peas, green",417,,"Others annual"
"groundnut","Groundnuts, with shell",242,,"Groundnuts / Peanuts"
"gums","Gums, natural",839,,"Others perennial"
"hazelnut","Hazelnuts, with shell",225,,"Others perennial"
"hemp","Hemp tow waste",777,,"Others annual"
"hempseed","Hempseed",336,,"Others annual"
"hop","Hops",677,,"Others perennial"
"jute","Jute",780,,"Others annual"
"jutelikefiber","Bastfibres, other",782,,"Others annual"
"kapokfiber","Kapok fibre",778,"Product of FAOSTAT Kapok fruit, 310, Monfreda area kapokfiber = kapokseed","Others perennial"
"kapokseed","Kapokseed in shell",311,"Product of FAOSTAT Kapok fruit, 310, Monfreda area kapokfiber = kapokseed","Others perennial"
"karite","Karite nuts (sheanuts)",263,,"Others perennial"
"kiwi","Kiwi fruit",592,,"Others perennial"
"kolanut","Kola nuts",224,,"Others perennial"
"legumenes","--",,,"Others annual"
"lemonlime","Lemons and limes",497,,"Citrus"
"lentil","Lentils",201,,"Pulses"
"lettuce","Lettuce and chicory",372,,"Others annual"
"linseed","Linseed",333,,"Others annual"
"lupin","Lupins",210,,"Pulses"
"maize","Maize",56,,"Maize"
"maizefor","--",,,"Maize"
"mango","Mangoes, mangosteens, guavas",571,,"Others perennial"
"mate","Mat_",671,,"Others perennial"
"melonetc","Melons, other (inc.cantaloupes)",568,,"Others annual"
"melonseed","Melonseed",299,,"Others annual"
"millet","Millet",79,,"Millet"
"mixedgrain","Grain, mixed",103,,"Others annual"
"mixedgrass","--",,,"Fodder grasses"
"mushroom","Mushrooms and truffles",449,,"Others annual"
"mustard","Mustard seed",292,,"Others annual"
"nutmeg","Nutmeg, mace and cardamoms",702,,"Others perennial"
"nutnes","Nuts, nes",234,,"Others perennial"
"oats","Oats",75,,"Others annual"
"oilpalm","Oil palm fruit",254,"Palm kernels, 256, Oil, palm, 257, products of Oil palm fruit","Oil palm"
"oilseedfor","--",,,"Others annual"
"oilseednes","Oilseeds nes",339,,"Others annual"
"okra","Okra",430,,"Others annual"
"olive","Olives",260,,"Others perennial"
"onion","Onions, dry",403,,"Others annual"
"orange","Oranges",490,,"Citrus"
"papaya","Papayas",600,,"Others perennial"
"pea","Peas, dry",187,,"Pulses"
"peachetc","Peaches and nectarines",534,,"Others perennial"
"pear","Pears",521,,"Others perennial"
"pepper","Pepper (piper spp.)",687,,"Others perennial"
"peppermint","Peppermint",748,,"Others annual"
"persimmon","Persimmons",587,,"Others perennial"
"pigeonpea","Pigeon peas",197,,"Pulses"
"pimento","Chillies and peppers, dry",689,,"Others perennial"
"pineapple","Pineapples",574,,"Others perennial"
"pistachio","Pistachios",223,,"Others perennial"
"plantain","Plantains",489,,"Others perennial"
"plum","Plums and sloes",536,,"Others perennial"
"popcorn","Popcorn",68,,"Maize"
"poppy","Poppy seed",296,,"Others annual"
"potato","Potatoes",116,,"Potatoes"
"pulsenes","Pulses, nes",211,,"Pulses"
"pumpkinetc","Pumpkins, squash and gourds",394,,"Others annual"
"pyrethrum","Pyrethrum, dried",754,,"Others annual"
"quince","Quinces",523,,"Others perennial"
"quinoa","Quinoa",92,,"Others annual"
"ramie","Ramie",788,,"Others annual"
"rapeseed","Rapeseed",270,,"Rape seed / Canola"
"rasberry","Raspberries",547,,"Others perennial"
"rice","Rice, paddy",27,,"Rice"
"rootnes","Roots and tubers, nes",149,,"Others annual"
"rubber","Rubber, natural",836,,"Others perennial"
"rye","Rye",71,,"Rye"
"ryefor","--",,,"Rye"
"safflower","Safflower seed",280,,"Others annual"
"sesame","Sesame seed",289,,"Others annual"
"sisal","Sisal",789,,"Others annual"
"sorghum","Sorghum",83,,"Sorghum"
"sorghumfor","--",,,"Sorghum"
"sourcherry","Cherries, sour",530,,"Others perennial"
"soybean","Soybeans",236,,"Soybeans"
"spicenes","Spices, nes",723,,"Others annual"
"spinach","Spinach",373,,"Others annual"
"stonefruitnes","Fruit, stone nes",541,,"Others perennial"
"strawberry","Strawberries",544,,"Others perennial"
"stringbean","String beans",423,,"Others annual"
"sugarbeet","Sugar beet",157,,"Sugar beet"
"sugarcane","Sugar cane",156,,"Sugar cane"
"sugarnes","Sugar crops, nes",161,,"Others annual"
"sunflower","Sunflower seed",267,,"Sunflower"
"swedefor","--",,,"Others annual"
"sweetpotato","Sweet potatoes",122,,"Others annual"
"tangetc","Tangerines, mandarins, clementines, satsumas",495,,"Citrus"
"taro","Taro (cocoyam)",136,,"Others annual"
"tea","Tea",667,,"Others perennial"
"tobacco","Tobacco, unmanufactured",826,,"Others annual"
"tomato","Tomatoes",388,,"Others annual"
"triticale","Triticale",97,,"Others annual"
"tropicalnes","Fruit, tropical fresh nes",603,,"Others perennial"
"tung","Tung nuts",275,,"Others perennial"
"turnipfor","--",,,"Others annual"
"vanilla","Vanilla",692,,"Others perennial"
"vegetablenes","Vegetables, fresh nes",463,,"Others annual"
"vegfor",,,,"Others annual"
"vetch","Vetches",205,,"Pulses"
"walnut","Walnuts, with shell",222,,"Others perennial"
"watermelon","Watermelons",567,,"Others annual"
"wheat","Wheat",15,,"Wheat"
"yam","Yams",137,,"Others annual"
"yautia","Yautia (cocoyam)",135,,"Others annual"
